perm_network_tf_idf,perm_os_tf_idf,perm_personal_tf_idf,perm_system_tf_idf,perm_device_tf_idf,api_network_tf_idf,api_os_tf_idf,api_personal_tf_idf,api_system_tf_idf,api_device_tf_idf
0,0,0,0.048705792,0.025514045,0.021670978,0.00467759,0,0,0.036470723
0,0,0.014707844,0.015981588,0.011162395,0.021332369,0.009209006,0.013746681,0.019095546,0.007977971
0,0,0.0470651,0,0,0.015169685,0.013097253,0,0.024442299,0
0,0,0,0.021308784,0.011162395,0.023702633,0.012278674,0,0.007638218,0.015955941
0,0,0.011766275,0.008523514,0.004464958,0.017065895,0.008185783,0.02199469,0.030552873,0.025529506
0,0,0.014707844,0.074580744,0,0.01422158,0.006139337,0,0.007638218,0.015955941
0,0,0.012385553,0,0.009399911,0.027944156,0.015509904,0,0.006432184,0
0,0,0.073539219,0.031963176,0.011162395,0.009481053,0.008185783,0,0,0.015955941
0,0,0.0470651,0,0.023813109,0.025282808,0.004365751,0,0.016294866,0.017019671
0,0,0.026147278,0.037882283,0,0.016855205,0.007276251,0,0.013579055,0.028366118
0,0,0.031376733,0.045458739,0.011906554,0.010113123,0.006548626,0,0.016294866,0.017019671
0,0,0.017431519,0.025254855,0.02645901,0.016855205,0.00848896,0,0.013579055,0.009455373
0,0,0.036203923,0.091791685,0,0.011668988,0.002518702,0,0,0.019638082
0,0,0,0,0,0,0.032743131,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0.016229345,0.011756571,0.012317125,0.023539166,0.009032588,0.015168752,0.016856758,0.008803278
0,0,0.058831375,0,0,0.018962106,0.008185783,0,0.030552873,0
0,0,0.078441833,0.056823424,0,0,0,0.146631265,0,0
0,0,0.037156658,0.026916359,0.018799823,0.011976067,0.010339936,0.023152305,0,0.013436582
0,0,0.012385553,0.00897212,0.004699956,0.021956123,0.009478275,0.011576153,0.025728735,0.013436582
0,0,0,0.042617568,0.022324789,0,0.016371566,0,0,0.031911883
